"","package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
"1",NA,"AGENCYB.afm.gz","C:\Windows\Fonts\AGENCYB.TTF","Agency FB Bold","Agency FB","AgencyFB-Bold",TRUE,FALSE,FALSE,NA
"2",NA,"AGENCYR.afm.gz","C:\Windows\Fonts\AGENCYR.TTF","Agency FB","Agency FB","AgencyFB-Reg",FALSE,FALSE,FALSE,NA
"3",NA,"ALGER.afm.gz","C:\Windows\Fonts\ALGER.TTF","Algerian","Algerian","Algerian",FALSE,FALSE,FALSE,NA
"4",NA,"ariblk.afm.gz","C:\Windows\Fonts\ariblk.ttf","Arial Black","Arial Black","Arial-Black",FALSE,FALSE,FALSE,NA
"5",NA,"arialbi.afm.gz","C:\Windows\Fonts\arialbi.ttf","Arial Bold Italic","Arial","Arial-BoldItalicMT",TRUE,TRUE,FALSE,NA
"6",NA,"arialbd.afm.gz","C:\Windows\Fonts\arialbd.ttf","Arial Bold","Arial","Arial-BoldMT",TRUE,FALSE,FALSE,NA
"7",NA,"ariali.afm.gz","C:\Windows\Fonts\ariali.ttf","Arial Italic","Arial","Arial-ItalicMT",FALSE,TRUE,FALSE,NA
"8",NA,"arial.afm.gz","C:\Windows\Fonts\arial.ttf","Arial","Arial","ArialMT",FALSE,FALSE,FALSE,NA
"9",NA,"ARIALN.afm.gz","C:\Windows\Fonts\ARIALN.TTF","Arial Narrow","Arial Narrow","ArialNarrow",FALSE,FALSE,FALSE,NA
"10",NA,"ARIALNB.afm.gz","C:\Windows\Fonts\ARIALNB.TTF","Arial Narrow Bold","Arial Narrow","ArialNarrow-Bold",TRUE,FALSE,FALSE,NA
"11",NA,"ARIALNBI.afm.gz","C:\Windows\Fonts\ARIALNBI.TTF","Arial Narrow Bold Italic","Arial Narrow","ArialNarrow-BoldItalic",TRUE,TRUE,FALSE,NA
"12",NA,"ARIALNI.afm.gz","C:\Windows\Fonts\ARIALNI.TTF","Arial Narrow Italic","Arial Narrow","ArialNarrow-Italic",FALSE,TRUE,FALSE,NA
"13",NA,"ARLRDBD.afm.gz","C:\Windows\Fonts\ARLRDBD.TTF","Arial Rounded MT Bold","Arial Rounded MT Bold","ArialRoundedMTBold",FALSE,FALSE,FALSE,NA
"14",NA,"ARIALUNI.afm.gz","C:\Windows\Fonts\ARIALUNI.TTF","Arial Unicode MS","Arial Unicode MS","ArialUnicodeMS",FALSE,FALSE,FALSE,NA
"15",NA,"bahnschrift.afm.gz","C:\Windows\Fonts\bahnschrift.ttf","Bahnschrift","Bahnschrift","Bahnschrift",FALSE,FALSE,FALSE,NA
"16",NA,"BASKVILL.afm.gz","C:\Windows\Fonts\BASKVILL.TTF","Baskerville Old Face","Baskerville Old Face","BaskOldFace",FALSE,FALSE,FALSE,NA
"17",NA,"BAUHS93.afm.gz","C:\Windows\Fonts\BAUHS93.TTF","Bauhaus 93","Bauhaus 93","Bauhaus93",FALSE,FALSE,FALSE,NA
"18",NA,"BELL.afm.gz","C:\Windows\Fonts\BELL.TTF","Bell MT","Bell MT","BellMT",FALSE,FALSE,FALSE,NA
"19",NA,"BELLB.afm.gz","C:\Windows\Fonts\BELLB.TTF","Bell MT Bold","Bell MT","BellMTBold",TRUE,FALSE,FALSE,NA
"20",NA,"BELLI.afm.gz","C:\Windows\Fonts\BELLI.TTF","Bell MT Italic","Bell MT","BellMTItalic",FALSE,TRUE,FALSE,NA
"21",NA,"BRLNSB.afm.gz","C:\Windows\Fonts\BRLNSB.TTF","Berlin Sans FB Bold","Berlin Sans FB","BerlinSansFB-Bold",TRUE,FALSE,FALSE,NA
"22",NA,"BRLNSR.afm.gz","C:\Windows\Fonts\BRLNSR.TTF","Berlin Sans FB","Berlin Sans FB","BerlinSansFB-Reg",FALSE,FALSE,FALSE,NA
"23",NA,"BRLNSDB.afm.gz","C:\Windows\Fonts\BRLNSDB.TTF","Berlin Sans FB Demi Bold","Berlin Sans FB Demi","BerlinSansFBDemi-Bold",TRUE,FALSE,FALSE,NA
